ID_DECLARATION;ID_ENVOI_EDI;ID_FORMULAIRE;ID_ADHERENT;ANNEE_DECLAR;PERIODE_DECLAR;REGIME_DECLAR;CODE_COMP;DATE_DEPOT;FAIT_GEN;RENS;MODE_DECLAR;CA_GLOBAL;MNT_TAXE;MNT_DEDUCTION;MNT_CREDIT;TVA_DUE;PAIEMENT_ACCOMP;TAXE_PAYEE;ETAT_DECLARATION;RELEVE_DEDUCTION;DATE_EFF_DEPOT;IS_HISTORY_ONLY;TYPE_DECLAR;DELETED;USER_MAJ;DATE_MAJ;DATE_TRANSFERT_METIER;MAJ;MAJ_T_METIER;RELEVE_DEDUCTION_AUTRE;PAIEMENT_MC_INITILIZED;REF_PAIEMENT;MONTANT_VERSE;PRINCIPAL_VERSE;DROITS_COMP_TVA;DATE_CESSION_OU_CESSATION
22681;NULL;381;3;2021;7;2;0;14/06/2022;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;NULL;14/06/2022;0;NULL;1;helmosaiyf_14392115;2022-06-14 00:00:00.0;NULL;NULL;NULL;NULL;1;1.01004E+12;NULL;NULL;NULL;NULL
22682;NULL;381;10;2021;7;1;0;25/04/2023;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;NULL;25/04/2023;0;NULL;1;raji16;2021-08-18 11:00:08.128;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22683;NULL;381;10;2021;7;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-18 11:39:24.409;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22684;NULL;381;10;2021;7;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-18 11:54:40.834;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22685;NULL;101;10;2014;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-18 11:56:38.927;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22686;NULL;101;10;2014;1;1;0;NULL; ;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;;NULL;0;NULL;1;raji16;2021-08-18 12:26:50.05;NULL;NULL;NULL;;0;NULL;NULL;0.00;0.00;NULL
22687;NULL;381;10;2021;7;1;0;NULL;NULL;NULL;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;NULL;NULL;0;N;1;raji16;2021-08-18 12:35:38.59;NULL;NULL;NULL;NULL;0;NULL;NULL;0.00;0.00;NULL
22688;NULL;101;10;2014;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-18 12:30:10.769;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22689;NULL;221;10;2015;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-18 12:30:26.184;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
22690;NULL;221;10;2016;1;1;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;1;raji16;2021-08-18 12:30:41.704;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
