ID;NUM_ORDRE;NUM_FACTURE;DATE_FACTURE;DESIGNATION_BIEN_SERVICE;MONTANT_HT;MONTANT_TVA;MONTANT_TTC;TAUX;REF_MODE_PAIEMENT;DATE_PAIEMENT;ID_DECLARATION;NOM_FOURNISSEUR;IF_FOURNISSEUR;ICE_FOURNISSEUR;ID_TRACE;PRORATA;MONTANT_TVA_PRORATA
2918131;2571;FN 20198856   ;31/12/2015;AFRIQUIA;44919.56;4491.96;49411.52;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918132;2572;FN 20198685   ;31/12/2015;AFRIQUIA;113052.78;11305.28;124358.06;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918133;2573;FN 20198687   ;31/12/2015;AFRIQUIA;12779.6;1277.96;14057.56;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918134;2574;FN 20198689   ;31/12/2015;AFRIQUIA;115507.44;11550.74;127058.18;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918135;2575;FN 20198679   ;31/12/2015;AFRIQUIA;420526.92;42052.69;462579.61;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918136;2576;FN 20198680   ;31/12/2015;AFRIQUIA;44283.19;4428.32;48711.51;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918137;2577;FN 20198691   ;31/12/2015;AFRIQUIA;95710.65;9571.07;105281.72;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918166;2606;FN 20198681   ;02/01/2016;AFRIQUIA;119851.81;11985.18;131836.99;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918167;2607;FN 20198682   ;02/01/2016;AFRIQUIA;54627.04;5462.7;60089.74;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918168;2608;FN 20198690   ;02/01/2016;AFRIQUIA;12561.42;1256.14;13817.56;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2918169;2609;FN 20198671   ;02/01/2016;AFRIQUIA;6389.8;638.98;7028.78;10.0;5;25/05/2016;15470;AFRIQUIA;111111111;1.52527E+12;2332;NULL;NULL
2920609;24;FN20312644YD;30/09/2016;CARBURANT;50299.09;5029.91;86142.42;10.0;2;14/11/2016;15541;AFRIQUIA;111111111;1.52527E+12;2362;NULL;NULL
2956191;662;FN°29651      ;05/02/2015;FONDERIES ET ACIERIES DU MAROC;1160.0;232.0;1392.0;20.0;5;25/02/2016;17461;FONDERIES ET ACIERIES DU MAROC;111111111;84005000016;3291;1234.0;6547.0
2956743;1214;FN°78780      ;19/08/2015;FONDERIES ET ACIERIES DU MAROC;53550.0;10710.0;64260.0;20.0;5;25/02/2016;17461;FONDERIES ET ACIERIES DU MAROC;111111111;84005000016;3291;1234.0;6547.0
2957191;1662;FN°78578      ;01/10/2015;FONDERIES ET ACIERIES DU MAROC;56000.0;11200.0;67200.0;20.0;5;25/02/2016;17461;FONDERIES ET ACIERIES DU MAROC;111111111;84005000016;3291;1234.0;6547.0
2958115;2586;FN°79334      ;31/12/2015;FONDERIES ET ACIERIES DU MAROC;53550.0;10710.0;64260.0;20.0;5;25/02/2016;17461;FONDERIES ET ACIERIES DU MAROC;111111111;84005000016;3291;1234.0;6547.0
2916222;662;FN°29651      ;05/02/2015;FONDERIES ET ACIERIES DU MAROC;1160.0;232.0;1392.0;20.0;5;25/02/2016;15470;FONDERIES ET ACIERIES DU MAROC;111111111;84005000016;2332;NULL;NULL
2916774;1214;FN°78780      ;19/08/2015;FONDERIES ET ACIERIES DU MAROC;53550.0;10710.0;64260.0;20.0;5;25/02/2016;15470;FONDERIES ET ACIERIES DU MAROC;111111111;84005000016;2332;NULL;NULL
2917222;1662;FN°78578      ;01/10/2015;FONDERIES ET ACIERIES DU MAROC;56000.0;11200.0;67200.0;20.0;5;25/02/2016;15470;FONDERIES ET ACIERIES DU MAROC;111111111;84005000016;2332;NULL;NULL
2918146;2586;FN°79334      ;31/12/2015;FONDERIES ET ACIERIES DU MAROC;53550.0;10710.0;64260.0;20.0;5;25/02/2016;15470;FONDERIES ET ACIERIES DU MAROC;111111111;84005000016;2332;NULL;NULL
2958277;2748;FN 1512003072 ;02/01/2016;TUBE ET PROFIL;18876.0;3775.2;22651.2;20.0;5;25/05/2016;17461;TUBE ET PROFIL;111111111;1.51398E+12;3291;1234.0;6547.0
2958278;2749;FN 1508001921 ;02/01/2016;TUBE ET PROFIL;321.6;64.32;385.92;20.0;5;25/05/2016;17461;TUBE ET PROFIL;111111111;1.51398E+12;3291;1234.0;6547.0
2958298;2769;FC1601000013;08/01/2016;TUBE ET PROFIL;7812.0;1562.4;9374.4;20.0;5;25/05/2016;17461;TUBE ET PROFIL;111111111;1.51398E+12;3291;1234.0;6547.0
2958327;2798;FC1601000081;19/01/2016;TUBE ET PROFIL;11520.0;2304.0;13824.0;20.0;5;25/05/2016;17461;TUBE ET PROFIL;111111111;1.51398E+12;3291;1234.0;6547.0
